code,display_name,city,raw_name
CHM00057461,Yichang,Yichang,YICHANG
CHM00057494,Wuhan,Wuhan,WUHAN
CHM00057516,Chongqing (57516-0),Chongqing (57516-0),CHONGQING (57516-0)
CHM00057541,Xuan' En,Xuan' En,XUAN' EN
CHM00057687,Changsha (57687-0),Changsha (57687-0),CHANGSHA (57687-0)
CHM00057816,Guiyang (57816-0),Guiyang (57816-0),GUIYANG (57816-0)
CHM00057957,Guilin,Guilin,GUILIN
CHM00057972,Chenzhou,Chenzhou,CHENZHOU
CHM00058027,Xuzhou,Xuzhou,XUZHOU
CHM00058150,Sheyang,Sheyang,SHEYANG
CHM00058203,Fuyang,Fuyang,FUYANG
CHM00058238,Nanjing,Nanjing,NANJING
CHM00058362,Shanghai (Baoshan),Shanghai (Baoshan),SHANGHAI (BAOSHAN)
CHM00058424,Anqing,Anqing,ANQING
CHM00058457,Hangzhou,Hangzhou,HANGZHOU
CHM00058606,Nanchang,Nanchang,NANCHANG
CHM00058633,Qu Xian,Qu Xian,QU XIAN
CHM00058665,Hongjia,Hongjia,HONGJIA
CHM00058725,Shaowu,Shaowu,SHAOWU
CHM00058847,Fuzhou,Fuzhou,FUZHOU
CHM00059023,Hechi,Hechi,HECHI
CHM00059134,Xiamen,Xiamen,XIAMEN
CHM00059211,Baise,Baise,BAISE
CHM00059265,Wuzhou,Wuzhou,WUZHOU
CHM00059280,Qingyuan (59280-0),Qingyuan (59280-0),QINGYUAN (59280-0)
CHM00059293,Heyuan,Heyuan,HEYUAN
CHM00059316,Shantou (59316-0),Shantou (59316-0),SHANTOU (59316-0)
CHM00059663,Yangjiang,Yangjiang,YANGJIANG
CHM00059948,Sanya,Sanya,SANYA
CIM00085442,Antofagasta,Antofagasta,ANTOFAGASTA
CIM00085469,Isla De Pascua,Isla De Pascua,ISLA DE PASCUA
CIM00085586,Santo Domingo Ad.,Santo Domingo Ad.,SANTO DOMINGO AD.
CIM00085799,Puerto Montt,Puerto Montt,PUERTO MONTT
CIM00085934,Punta Arenas,Punta Arenas,PUNTA ARENAS
CJM00078384,Owen Roberts Airport Grand (Owen Roberts Airport Grand),Owen Roberts Airport Grand,OWEN ROBERTS AIRPORT GRAND
CKM00096996,Cocos Island Aero,Cocos Island Aero,COCOS ISLAND AERO
CMM00064870,Ngaoundere,Ngaoundere,NGAOUNDERE
CNM00067002,Hahaya Int. Airport (Hahaya Int. Airport),Hahaya Int. Airport,HAHAYA INT. AIRPORT
COM00080001,San Andres (Isla),San Andres (Isla),SAN ANDRES (ISLA)/SESQUICEN
COM00080028,Barranquilla,Barranquilla,BARRANQUILLA/ERNESTO CORTIS
COM00080094,Bucaramanga,Bucaramanga,BUCARAMANGA/PALONEGRO
COM00080222,Bogota,Bogota,BOGOTA/ELDORADO
COM00080259,Cali,Cali,CALI/ALFONSO BONILLA ARAGON
COM00080398,Leticia,Leticia,LETICIA/VASQUEZ COBO
