code,display_name,city,raw_name
USM00074778,"Fl Eglin Afb Range No., United States",Fl Eglin Afb Range No.,FL EGLIN AFB RANGE NO.
USM00074780,"Ga Fort Stewart Reserv, United States",Ga Fort Stewart Reserv,GA FORT STEWART RESERV
USM00074790,"Sc Shaw Afb/Sumter, United States",Sc Shaw Afb,SC SHAW AFB/SUMTER
USM00074792,"Sc Poinsett Range, United States",Sc Poinsett Range,SC POINSETT RANGE
USM00074794,"Fl Cape Kennedy, United States",Fl Cape Kennedy,FL CAPE KENNEDY
USM00074796,"Fl Avon Park Gunnery R, United States",Fl Avon Park Gunnery R,FL AVON PARK GUNNERY R
USM00091162,"Hi Barking Sands, United States",Hi Barking Sands,HI BARKING SANDS
USM00091165,"Hi Lihue; Kauai; Hawaii, United States",Hi Lihue; Kauai; Hawaii,HI LIHUE; KAUAI; HAWAII
USM00091170,"Hi Wahiawa, United States",Hi Wahiawa,HI WAHIAWA
USM00091176,"Hi Kaneohe Bay (Mcaf), United States",Hi Kaneohe Bay (Mcaf),HI KANEOHE BAY (MCAF)
USM00091182,"Hi Honolulu Intl, United States",Hi Honolulu Intl,HI HONOLULU INTL
USM00091190,"Hi Kahului Arpt/Maui, United States",Hi Kahului Arpt,HI KAHULUI ARPT/MAUI
USM00091285,"Hi Hilo Hi; Hawaii, United States",Hi Hilo Hi; Hawaii,HI HILO HI; HAWAII
USW00003123,"Ca Camp Pendleton, United States",Ca Camp Pendleton,CA CAMP PENDLETON
USW00003134,"Ca Baker, United States",Ca Baker,CA BAKER
USW00003138,"Ca Shoshone, United States",Ca Shoshone,CA SHOSHONE
USW00003143,"Nv Jackass Flats, United States",Nv Jackass Flats,NV JACKASS FLATS
USW00003835,"Oh Dayton Mccook Field, United States",Oh Dayton Mccook Field,OH DAYTON MCCOOK FIELD
USW00003955,"Ok Broken Arrow, United States",Ok Broken Arrow,OK BROKEN ARROW
USW00012802,"Fl Fort Myers (Buckingham Aaf), United States",Fl Fort Myers (Buckingham Aaf),FL FORT MYERS (BUCKINGHAM AAF)
USW00012803,"Fl Boca Raton (Aaf), United States",Fl Boca Raton (Aaf),FL BOCA RATON (AAF)
USW00012805,"Fl Sebring Hendricks Field, United States",Fl Sebring Hendricks Field,FL SEBRING HENDRICKS FIELD
USW00012810,"Fl Tampa Macdill Field, United States",Fl Tampa Macdill Field,FL TAMPA MACDILL FIELD
USW00012811,"Fl Fort Myers (Paige Field), United States",Fl Fort Myers (Paige Field),FL FORT MYERS (PAIGE FIELD)
USW00012814,"Fl Sarasota Aaf, United States",Fl Sarasota Aaf,FL SARASOTA AAF
USW00012815,"Fl Orlando (Pinecastle Aaf), United States",Fl Orlando (Pinecastle Aaf),FL ORLANDO (PINECASTLE AAF)
USW00012819,"Fl Leesburg (Aaf), United States",Fl Leesburg (Aaf),FL LEESBURG (AAF)
USW00012824,"Fl Orlando (Aab), United States",Fl Orlando (Aab),FL ORLANDO (AAB)
USW00012825,"Fl Venice (Aaf), United States",Fl Venice (Aaf),FL VENICE (AAF)
USW00012863,"La Burrwood, United States",La Burrwood,LA BURRWOOD
USW00012880,"Fl Delta Seven, United States",Fl Delta Seven,FL DELTA SEVEN
USW00012881,"Fl Valkaria, United States",Fl Valkaria,FL VALKARIA
USW00012901,"Tx Galveston (Fort Crockett), United States",Tx Galveston (Fort Crockett),TX GALVESTON (FORT CROCKETT)
